keywords (sub-indicators),Social Determinant Category,Primary Determinant Analyzed,Secondary Determinant Analyzed 1,Secondary Determinant Analyzed 2,Secondary Determinant Analyzed 3,Title,Year Published,Source,Primary Author,Number of Authors,Associated Research Institution,Author Total Works Count,Research Type,Topic ,Subfield,Field,Domain,Aligned SDG ,Research Locations,Cites,Cited By,Research Method,Research Method Population Scale ,Harm Magnitude,Harm Population Impact ,ID,Cluster
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Community Engagement,Income,Provider & Pharmacy Availability,,Race: America’s Grand Challenge,2016,Journal of the Society for Social Work and Research,Larry E. Davis,1,Johns Hopkins University,403,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1086/686296,4,20,Interview,Medium,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,205,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Community Engagement,Support,Health Coverage,,"The ""Long Movement"" as Vampire: Temporal and Spatial Fallacies in Recent Black Freedom Studies",2007,The Journal of African American history/The journal of African American history,Sundiata Keita Cha–Jua,2,University of Illinois Urbana-Champaign,100,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1086/jaahv92n2p265,21,131,Controlled Expirement,Small ,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,208,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Community Engagement,Transportation,Vocational Training,,"""The Attila the Hun Law"": New York's Rockefeller Drug Laws and the Making of a Punitive State",2010,Journal of social history,Julilly Kohler-Hausmann,1,Cornell University,17,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Good health and well-being, Peace, justice, and strong institutions",https://doi.org/10.1353/jsh.2010.0039,22,56,Survey ,Very Large,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,215,Cluster_4
,"Community, Safety & Social Context",Community Engagement,Playgrounds,Food Security,,Fanning the Flames of Racial Discord,1999,Harvard international journal of press/politics,Jane Rhodes,1,University of Illinois at Chicago,37,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1177/1081180x9900400406,22,45,Survey ,Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,237,Cluster_4
,"Community, Safety & Social Context",Community Engagement,Employment,Early Childhood,,Racial disparity reform: racial inequality and policy responses in US national politics,2016,Journal of crime & justice/Journal of crime and justice,Ellen A. Donnelly,1,University of Delaware,32,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1080/0735648x.2016.1176950,64,7,Secondary Data Analysis ,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,238,Cluster_4
,"Community, Safety & Social Context",Community Engagement,Transportation,Education,,"Unraveling Fabric, Missing the Beat: Class and Gender in Afro-American Social Issues",1992,The black scholar/The Black scholar,Deborah L. King,1,Ithaca College,83,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1080/00064246.1992.11413043,3,14,Interview,Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,243,Cluster_4
,"Community, Safety & Social Context",Community Engagement,Housing,Literacy,,Rethinking black liberation: towards a new protest paradigm,1997,Race & class,Manning Marable,1,Columbia University,222,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1177/030639689703800401,,12,Focus Group,Very Large,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,247,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Exposure to Violence / Trauma,Playgrounds,Vocational Training,,Black Lives Matter,2015,New labor forum,Russell Rickford,1,Cornell University,29,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1177/1095796015620171,,143,Interview,Small ,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,204,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Exposure to Violence / Trauma,Debt,Vocational Training,,Race science and surveillance: police as the new race scientists,2018,Social identities,Natalie Byfield,1,St. John's University,11,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Sustainable cities and communities,https://doi.org/10.1080/13504630.2017.1418599,26,47,Secondary Data Analysis ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,213,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Exposure to Violence / Trauma,Debt,Health Coverage,,Towards a Critical Global Race Theory,2012,Sociology compass,Melissa F. Weiner,1,College of the Holy Cross,54,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1111/j.1751-9020.2012.00457.x,184,68,Interview,Medium,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,214,Cluster_4
